Num Clients,Throughput,Latency,Packet Loss (%)
1,1696965.9589172585,0.00017616920864459165,3.0
2,975409.9126654821,0.00017972617211420115,6.0
5,1198774.3188805846,0.00018319204600303744,4.0
10,789489.6562261735,0.0002673270369549962,5.6
20,396816.18816746934,0.00033351363718582696,5.35
50,153520.56064213338,0.0006823378608708916,5.48
