Num Messages,Throughput (bytes/s),Avg Latency (s),Packet Loss (%)
1,633687.5401626609,0.0009967803955078125,0.0
10,2589148.0608178307,0.00022019386291503908,0.0
20,1508179.6130002253,0.0001634656720691257,8.0
30,2008498.5309655636,0.0001955134747861626,4.666666666666667
50,2109367.064150302,0.00018148004910629434,4.0
100,1437763.7563051493,0.00015990806260446415,4.8
200,1072833.4398748686,0.00020327558926082288,6.6
500,1233813.2123268398,0.0001722953359672509,5.2
