Num Messages,Throughput (bytes/s),Avg Latency (s)
1,430765.5805509299,0.0
10,6778843.083418603,5.000352859497071e-05
20,6123341.428478414,2.5010108947753908e-05
30,5990641.381003082,3.371477127075195e-05
50,6327851.823772637,3.021049499511719e-05
100,6539225.97856352,4.0302276611328116e-05
200,6438045.162664341,3.148400783538818e-05
500,7251850.956957812,2.5696182250976564e-05
